feedback_id,issue_no,source,channel,car_series,created_time,raw_text,domain,module,scenario,problem,severity,sentiment,impact_score,frequency_score,priority_score
TP000220260329000521,1,400电话.xlsx,400,LS9,2026-03-29 10:27:42,用户告知，未产生罚单，希望之后改进智能辅助驾驶，不要走应急车道，要求作为产品建议反馈。,智驾体验,辅助驾驶,行车/智驾,希望辅助驾驶不要走应急车道,1,0,0.4,1,31.61
TP000220260227001777,1,400电话.xlsx,400,LS9,2026-02-27 13:28:10,智能辅助驾驶在高速的时候，会强制执行汇入口的避让，无论有没有车都会避让，希望改进,智能驾驶,辅助驾驶,行车/智驾,汇入口强制避让逻辑不合理,1,0,0.4,1,31.61
TP000220260216001833,1,400电话.xlsx,400,LS6,2026-02-16 14:17:56,半锁问题反馈建议app新增提醒门未关功能,车联车控,车门,新增功能建议,半锁问题时，APP应新增提醒门未关功能,1,0,0.4,1,31.61
TP000220260207001283,1,400电话.xlsx,400,LS9,2026-02-07 11:44:00,开门设计比较复杂了,车门设计,车门,开门操作体验,开门设计复杂,1,0,0.2,1,21.61
TP000220260202003604,4,400电话.xlsx,400,LS9,2026-02-02 16:10:07,前面风噪有点大,车辆品质,车门异响问题,现有体验优化,前面风噪有点大,1,0,0.2,1,21.61
TP000220260121003712,11,400电话.xlsx,400,LS9,2026-01-21 16:06:09,咨询etc安装,智舱建议,智能座舱,现有体验优化,用户咨询ETC安装事宜,1,0,0.2,1,21.61
TP000220260504002882,1,5月400建议.xlsx,400,LS8,2026-05-04 14:26:29,用户表示车辆掉电快,三电系统,电池系统,掉电快,车辆掉电快，疑似电池故障,1,0,0.2,1,21.61
TP000220260527007240,1,5月400建议.xlsx,400,LS9,2026-05-27 20:38:52,"用户描述：在湿滑路面行驶，地面附着力不足，出现后轮轮速与前轮轮速存在明显差值，而出现甩，用户担心设计方面存在问题
用户建议：建议通过软件优化",车辆品质,空气悬架与底盘体验,现有体验优化,湿滑路面甩尾问题,1,-1,0.4,1,36.61
TP000220260530002406,2,5月400建议.xlsx,400,LS8,2026-05-30 13:35:26,用户反馈脚踏板的安装太慢，被告知需要6月中旬才可以安装。,交付相关,交付当天流程执行,交付流程不到位/等待时间长,脚踏板安装等待时间长，被告知6月中旬才可安装,1,0,0.2,1,21.61
TP000220260526001025,1,5月400建议.xlsx,400,LS9,2026-05-26 10:19:34,用户针对整体服务未给予分数表示没开几天无法给与评分,交付体验,交付流程,交付评价,用户认为开几天后才能给与评分，当前评分时机不合理,1,-1,0.2,1,26.61
